name,source_url,domain_group,languages,size,license,access_status,download_method,notes,use_for_us
"SemEvalWorkshop/sem_eval_2018_task_1","https://huggingface.co/datasets/SemEvalWorkshop/sem_eval_2018_task_1","emoji_affect_tweets","ar,en,es","~10.7k tweets; Arabic EI-reg + E-c","unknown (free research use)","open","HF (trust_remote_code) or saifmohammad.com AIT-2018","EI-reg = intensity regression; official XML/CSV at alt.qcri.org/semeval2018/task1","DA-2"
"cardiffnlp/tweet_eval (emoji)","https://huggingface.co/datasets/cardiffnlp/tweet_eval","emoji_prediction_tweets","en","100k train / 10k test; 20 emoji classes; ~5.9MB","unknown (TweetEval research)","open","HF config 'emoji'","large English emoji-suggestion corpus","DA-2"
"TEAD","https://github.com/HSMAabdellaoui/TEAD","emoji_sentiment_tweets","ar","6M tweets (3.12M pos / 2.11M neg / 378k neu)","unclear (paper 2018)","request","email hsm.abdellaoui@gmail.com or README Drive link","very large emoji Arabic tweets; dedup + TOS check","DA-2"
"Twitter Emoji Prediction (Kaggle)","https://www.kaggle.com/datasets/hariharasudhanas/twitter-emoji-prediction","emoji_prediction_tweets","en","~1-2M tweets","unclear (Kaggle terms)","open","kaggle datasets download","en supplement; verify label quality","DA-2"
"SANAD","https://data.mendeley.com/datasets/57zpx667y9/2","news_articles","ar","~185k articles, 7 categories","CC BY 4.0","open","Mendeley download; HF khalidalt/SANAD","title+body pairs; categories = DA-3 labels too","DA-8 + DA-3"
"Fumika/Wikinews-multilingual","https://huggingface.co/datasets/Fumika/Wikinews-multilingual","news_articles","ar + 32","15.2k articles; ~9.9k non-en incl ar","CC BY 2.5","open","HF datasets","genuine wikinews headline/article pairs incl Arabic","DA-8"
"arbml/Arabic_News","https://huggingface.co/datasets/arbml/Arabic_News","news_articles","ar","1M-10M rows","unclear","open","HF datasets","noisy scrape; filter for title/body structure","DA-8"
"arbml/news_articles_aljazeera","https://huggingface.co/datasets/arbml/news_articles_aljazeera","news_articles","ar","10k-100k","unclear","open","HF datasets","clean journalistic Arabic title+body","DA-8"
"fancyzhx/ag_news","https://huggingface.co/datasets/fancyzhx/ag_news","news_classification","en","120k train / 7.6k test; 4 classes","unknown (standard research)","open","HF datasets","canonical en title+class corpus","DA-8 (en arm) + DA-3"
"Harvard/gigaword","https://huggingface.co/datasets/Harvard/gigaword","headline_generation","en","~3.8M first-sentence->headline","unclear (LDC-style)","gated","HF gated (token) ; orig via LDC","huge en headline gen; ag_news = ungated fallback","DA-8 (en)"
"ANERcorp","https://camel.abudhabi.nyu.edu/anercorp/","ner_temporal_numeric","ar","~316k tokens / 15k tweets; DATE MONEY PERCENT + PER/ORG/LOC","free research (CAMeL Lab)","open","direct download from CAMeL page","classic Arabic NER w/ temporal+numeric — direct DA-9 signal; CLEANANERCorp cleaner","DA-9 + DA-7"
