name,source_url,domain_group,languages,size,license,access_status,download_method,notes,use_for_us
"SADA (Kaggle official)","https://www.kaggle.com/datasets/sdaiancai/sada2022","arabic-asr","ar (Saudi dialects)","667h (418 train); 4563 wav","CC BY-NC-SA 4.0","open","Kaggle (account); HF: MohamedRashad/SADA22, khaledalganem/sada2022","per-segment dialect labels (Najdi/Hijazi/Khaliji/Lev/Egy), gender/age tags, transcriptions","DA-6 ASR; DA-5 dialectID; DA-3"
"Common Voice 26 (MDC)","https://mozilladatacollective.com/datasets/cmqinoh7z00wsnr07v5ixz5uo","arabic-asr","ar","157.46h rec / 92h validated; 136185 clips","CC0","gated","MDC account; rehost forbidden","official only since Oct 2025; no official dialect splits","DA-6; DA-1"
"FLEURS ar_eg (google/fleurs)","https://huggingface.co/datasets/google/fleurs","arabic-asr-langid","ar_eg + 101","~12h/lang; ~10h train","CC-BY-4.0","open","already downloaded data/fleurs/","one Arabic config; parallel 102 langs","DA-1; DA-5; DA-6"
"QCRI/QASR","https://huggingface.co/datasets/QCRI/QASR","arabic-asr","ar multi-dialect broadcast","~2000h transcribed","CC BY-NC 2.0","open","HF datasets","largest transcribed Arabic speech; Aljazeera; segment annotations","DA-6; DA-3; DA-7"
"QCRI/mgb2 (MGB-2)","https://huggingface.co/datasets/QCRI/mgb2","arabic-asr","ar Aljazeera","~1200h lightly supervised","QCRI-ALT (other)","gated(auto)","HF gated accept","official MGB-2; mirror Esra11/mgb2-arabic open","DA-6; DA-5"
"ArabicSpeech/MGB-3","https://huggingface.co/datasets/ArabicSpeech/MGB-3","arabic-asr","ar Egyptian YouTube","~16h","unclear","open","HF datasets","Egyptian dialect in the wild","DA-6; DA-5"
"ArabicSpeech/MGB-5","https://huggingface.co/datasets/ArabicSpeech/MGB-5","dialectid-asr","ar 17-way dialect","~14h dev/test","unclear","open","HF datasets","recognition + dialect-ID challenge data","DA-5; DA-6"
"ADI17 (MIT CSAIL)","https://sls.csail.mit.edu/downloads/adi17/","dialectid","ar 17 countries","17-way YouTube speech","MIT (metadata; audio via YouTube)","open","github swshon/arabic-dialect-identification","audio re-downloaded from YouTube IDs","DA-5"
"UBC-NLP/NADI2025_subtask1_SLID","https://huggingface.co/datasets/UBC-NLP/NADI2025_subtask1_SLID","dialectid","ar multi-country","size not stated","unclear","gated","HF gated (contact)","official NADI 2025 spoken dialect ID","DA-5"
"UBC-NLP/Casablanca","https://huggingface.co/datasets/UBC-NLP/Casablanca","dialectid-asr","ar 8 dialects incl Moroccan","48h segmented","CC BY-NC-ND 4.0","open","HF datasets","per-segment dialect + gender labels","DA-5; DA-6"
