name,source_url,domain_group,languages,size,license,access_status,download_method,notes,use_for_us
fixie-ai/common_voice_17_0 (ar),https://huggingface.co/datasets/fixie-ai/common_voice_17_0,crowdsourced read-speech ASR mirror,ar + 100+,ar: 28369/10470/10480; repo 399GB,CC0-1.0,open,load_dataset or HF parquet,"open mirror; official mozilla repos 401 since Oct 2025; accent/variant cols, no geo region",DA-5 dialectID; DA-6 ASR
fsicoli/common_voice_17_0,https://huggingface.co/datasets/fsicoli/common_voice_17_0,crowdsourced ASR mirror (raw TSV),ar + 100+,validated.tsv 24.2MB; other 12.8MB,CC0-1.0,open,git clone (LFS) or load_dataset,native cv-corpus layout; validated.tsv has accent/age/gender/segment,DA-5; DA-6; DA-4 (fillers from other/)
Mozilla Common Voice official (MDC),https://mozilladatacollective.com/datasets,crowdsourced ASR official,ar + 294,"CV26 ar: 136185 clips = 157.46h, 92h validated",CC0,request,free account at MDC,official route since Oct 2025; datasheets expose per-accent tables,DA-5; DA-6
google/fleurs,https://huggingface.co/datasets/google/fleurs,n-way parallel read speech,"102 incl ar_eg,fa_ir,ps_af,ur_pk",~10h train/lang; ~1-2GB/config,CC-BY-4.0,open,already downloaded data/fleurs/,one Arabic config only (ar_eg); speaker-disjoint,DA-5; DA-6; DA-1
google/xtreme_s,https://huggingface.co/datasets/google/xtreme_s,multilingual speech benchmark,102 langs,fleurs portion ~10h/lang,apache-2.0,open,load_dataset xtreme_s,alt route to fleurs configs,DA-1; DA-5; DA-6
Esra11/mgb2-arabic,https://huggingface.co/datasets/Esra11/mgb2-arabic,broadcast speech (Aljazeera),ar (MSA 70% + EGY/GLF/LEV/NOR 30%),~1200h train; 131.6GB,unclear,open,load_dataset,largest Arabic broadcast on HF; check original MGB-2 terms,DA-5 dialectID; DA-6; DA-4 fillers
badrex/MADIS5-spoken-arabic-dialects,https://huggingface.co/datasets/badrex/MADIS5-spoken-arabic-dialects,ADI eval benchmark,MSA+4 dialects,~12h; 4854 utts; 1.34GB,cc,open,load_dataset,purpose-built out-of-domain dialect-ID eval,DA-5 primary eval bar
MBZUAI/ClArTTS,https://huggingface.co/datasets/MBZUAI/ClArTTS,Classical Arabic TTS,ar,~12h; 9705 clips; 3.2GB,CC-BY-4.0,open,load_dataset,LibriVox-derived clean read,DA-4 synthetic fillers; DA-6
MBZUAI/ArVoice,https://huggingface.co/datasets/MBZUAI/ArVoice,multi-speaker MSA TTS diacritized,ar,83.52h; 46222 rows,CC-BY-4.0 (HF subset),request(main)/open(subset),load_dataset or email MBZUAI,synthetic portion reusable for filler injection,DA-4; DA-6
halabi2016/arabic_speech_corpus,https://huggingface.co/datasets/halabi2016/arabic_speech_corpus,MSA TTS/ASR,ar,~3.5h; 1813 utt,CC-BY-4.0,open,load_dataset,classic Arabic Speech Corpus,DA-4; DA-6
oddadmix/arabic-audio-collection-syrian-podcast,https://huggingface.co/datasets/oddadmix/arabic-audio-collection-syrian-podcast,podcast Levantine,+transcripts,~116h; 24406 clips; 12.6GB,other,open,load_dataset,first Syrian podcast w/ transcripts; spontaneous,DA-5 Levantine; DA-4 fillers; DA-6
InfoBayAI/Arabic_Podcast_Audio_Dataset,https://huggingface.co/datasets/InfoBayAI/Arabic_Podcast_Audio_Dataset,podcast untranscribed,ar (+11),6024h ar; 8kHz,CC-BY-4.0,gated(auto),HF gated,massive; topics/pretrain pool only,DA-3; pretrain
ehabnegm/100-hour-Egyptian-dataset-single-speaker,https://huggingface.co/datasets/ehabnegm/100-hour-Egyptian-dataset-single-speaker,Egyptian speech,arz,~100h; 15653 clips,CC-BY-NC-4.0,open,load_dataset,high-download Egyptian single speaker,DA-5 Egyptian; DA-6
MohamedRashad/SADA22,https://huggingface.co/datasets/MohamedRashad/SADA22,Saudi broadcast speech,ar (Saudi),667h (418 train); 253166 rows; 50.4GB,CC-BY-NC-SA-4.0,open,load_dataset,take val/test ~20h for Gulf scoring,DA-5 Gulf; DA-6
Nouira-Oussema/Tunisian-Speech,https://huggingface.co/datasets/Nouira-Oussema/Tunisian-Speech,Tunisian Arabic,ar,2345 rows,CC-BY-NC-4.0,open,load_dataset,rare Maghrebi coverage,DA-5 Maghrebi
MohamedGomaa30/Egyptian-Speech-Clean-MGB3,https://huggingface.co/datasets/MohamedGomaa30/Egyptian-Speech-Clean-MGB3,Egyptian speech MGB-3,arz,6547 clips; 3.0GB,unclear,open,load_dataset,cleaned Egyptian broadcast subset,DA-5; DA-6
AlaaSamir/egyptian-speech-tts,https://huggingface.co/datasets/AlaaSamir/egyptian-speech-tts,Egyptian TTS,arz,111603 rows; 20.8GB,unclear,open,load_dataset,large Egyptian TTS,DA-4; DA-6
Nourhann/Arabic-Diacritized-TTS,https://huggingface.co/datasets/Nourhann/Arabic-Diacritized-TTS,diacritized TTS,ar,8874 rows; 5.4GB,unclear,open,load_dataset,diacritized transcripts,DA-4; DA-8
datahiveai/arabic-multidialect-emotional-speech-demo,https://huggingface.co/datasets/datahiveai/arabic-multidialect-emotional-speech-demo,emotional multi-dialect demo,ar,496 clips; 0.26GB,CC-BY-NC-4.0,open,load_dataset,tiny demo slice of commercial corpus,DA-2 Emo
AhmedEladl/saudi-dialect-speech-male,https://huggingface.co/datasets/AhmedEladl/saudi-dialect-speech-male,Saudi speech male,ar,5312 clips; 1.29GB,other,open,load_dataset,Gulf slice,DA-5 Gulf; DA-6
AhmedEladl/saudi-dialect-speech-female,https://huggingface.co/datasets/AhmedEladl/saudi-dialect-speech-female,Saudi speech female,ar,4963 clips; 0.77GB,other,open,load_dataset,Gulf slice,DA-5 Gulf
MrEzzat/arabic-eou-detection-10k,https://huggingface.co/datasets/MrEzzat/arabic-eou-detection-10k,EOU detection Saudi,ar,10000 rows,MIT,open,load_dataset,EOU = turn/filler boundary proxy,DA-4
mahmoudsaalama/arabic-eou-saudi-dialect,https://huggingface.co/datasets/mahmoudsaalama/arabic-eou-saudi-dialect,EOU Saudi,ar,6938 rows,MIT,open,load_dataset,text-level EOU,DA-4
abdusah/arabic_speech_massive,https://huggingface.co/datasets/abdusah/arabic_speech_massive,MASSIVE SLU speech intents/slots,ar-SA,~13.7k ar utts; metadata 44.5MB,unclear (base CC-BY-4.0),open,load_dataset,spoken utterances with intent+slot labels,DA-9 Schemer; DA-6
IbrahimSalah/The_Arabic_News_speech_Corpus_Dataset,https://huggingface.co/datasets/IbrahimSalah/The_Arabic_News_speech_Corpus_Dataset,news broadcast speech,ar,9396 rows; ~1.1GB metadata,CC-BY-NC-4.0,open,load_dataset,news audio-text,DA-6; DA-3; DA-8
Yahya-Mohamed/egyptian-arabic-speech-dataset,https://huggingface.co/datasets/Yahya-Mohamed/egyptian-arabic-speech-dataset,Egyptian clips,arz,3353 clips; 0.43GB,unclear,open,load_dataset,small smoke set,DA-5; DA-6
amaai-lab/DisfluencySpeech,https://huggingface.co/datasets/amaai-lab/DisfluencySpeech,disfluency benchmark en/es,en (+es),annotated conversational,apache-2.0,open,load_dataset,NO Arabic filler corpus exists; this is methodology transfer source,DA-4 methodology
Switchboard-1 LDC97S62,https://catalog.ldc.upenn.edu/LDC97S62,telephone speech disfluency,en,~2400 calls/240h,LDC paid,paid,LDC download,reference um/uh markup; no Arabic equivalent open,DA-4 reference
facebook/voxpopuli,https://huggingface.co/datasets/facebook/voxpopuli,EU Parliament speech,NO Arabic,n/a,cc0,open,load_dataset,VERIFIED: no Arabic in VoxPopuli,exclude
silky1708/ArabicVoice,https://huggingface.co/datasets/silky1708/ArabicVoice,claimed TTS corpus,ar,claimed ~2000h,unclear,unclear,unverified 401,treat unconfirmed,DA-4 pending
MBZUAI/AraVoice,https://huggingface.co/datasets/MBZUAI/AraVoice,claimed voice corpus,ar,unknown,unknown,unclear,unverified 401,likely conflation; use ArVoice/ClArTTS,exclude
arbml/Arabic_Speech_Corpus,https://huggingface.co/datasets/arbml/Arabic_Speech_Corpus,mirror claimed,ar,~3.5h,unclear,unclear,unverified 401,use halabi2016 instead,exclude
ToumAIAnalytics/arabic_voice_lev,https://huggingface.co/datasets/ToumAIAnalytics/arabic_voice_lev,Levantine crowdsourced,ar,unknown,unknown,gated(manual),request,"exists, gated, size unstated",DA-5 Levantine if approved
SADA (Kaggle official),https://www.kaggle.com/datasets/sdaiancai/sada2022,arabic-asr,ar (Saudi dialects),667h (418 train); 4563 wav,CC BY-NC-SA 4.0,open,"Kaggle (account); HF: MohamedRashad/SADA22, khaledalganem/sada2022","per-segment dialect labels (Najdi/Hijazi/Khaliji/Lev/Egy), gender/age tags, transcriptions",DA-6 ASR; DA-5 dialectID; DA-3
