[prepare] trying dataset: bigcode/the-stack-smol (python)
[prepare] bigcode/the-stack-smol failed: DatasetNotFoundError: Dataset 'bigcode/the-stack-smol' is a gated dataset on the Hub. Visit the dataset page at https://huggingface.co/datasets/bigcode/the-stack-smol to ask for access.
[prepare] trying dataset: bigcode/starcoderdata (python)
[prepare] bigcode/starcoderdata failed: DatasetNotFoundError: Dataset 'bigcode/starcoderdata' is a gated dataset on the Hub. Visit the dataset page at https://huggingface.co/datasets/bigcode/starcoderdata to ask for access.
[prepare] trying dataset: nickrosh/Evol-Instruct-Code-80k-v1
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 1000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 1250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 1500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 1750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 2000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 2250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 2500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 2750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 3000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 3250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 3500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 3750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 4000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 4250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 4500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 4750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 5000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 5250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 5500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 5750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 6000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 6250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 6500/50000 rows
