model,gate,DER_percent,WER_percent,DER_nocase_percent,text_preservation,lines,source_of_number,verified_at
v2b,fadel_test,47.1,,,,,ledger-recorded,2026-09-14T16:40:23.497Z
v2b,sadeed25,59.9,,,0.9999,,ledger-recorded,2026-09-14T16:40:23.497Z
v2b,wikinews2024,61.1,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
v2b,wikinews2014,56.4,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
v2d28,fadel_test,45.0,,,,,ledger-recorded,2026-09-14T16:40:23.497Z
v2d28,sadeed25,56.2,,,0.9999,,ledger-recorded,2026-09-14T16:40:23.497Z
v2d28,wikinews2024,59.1,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
v2d28,wikinews2014,52.5,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
b65_76M,fadel_test,43.1,,,,,ledger-recorded,2026-09-14T16:40:23.497Z
b65_76M,sadeed25,55.3,,,0.9999,,ledger-recorded,2026-09-14T16:40:23.497Z
b65_76M,wikinews2024,60.3,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
b65_76M,wikinews2014,53.7,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
fadel_spec,fadel_test,34.2,,,,,ledger-recorded,2026-09-14T16:40:23.497Z
fadel_spec,sadeed25,51.4,,,0.9999,,ledger-recorded,2026-09-14T16:40:23.497Z
fadel_spec,wikinews2024,62.9,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
fadel_spec,wikinews2014,57.4,,,1.0,,ledger-recorded,2026-09-14T16:40:23.497Z
stage2a,fadel_test,41.565812403075986,41.5802011223201,27.249036755183936,1.0,2500,rescored-scratch,2026-09-14T16:40:23.497Z
stage2a,sadeed25,54.4947642989453,54.50043473330057,38.906740256303635,0.9998865913128946,1612,rescored-scratch,2026-09-14T16:40:23.497Z
stage2a,wikinews2024,60.92690278824416,60.92690278824416,49.981160512434064,1.0,356,rescored-scratch,2026-09-14T16:40:23.497Z
stage2a,wikinews2014,54.05774909767035,54.06868642677458,38.182215902876515,1.0,393,rescored-scratch,2026-09-14T16:40:23.497Z
stage2b2500@2500,fadel_test,33.23394458744344,33.251530799852913,22.0954771459176,1.0,,gate_probe-rescored,pwsh-65
stage2b2500@2500,sadeed25,45.67912902128303,45.68290931085321,31.814917022643935,0.9998865913128946,,gate_probe-rescored,pwsh-65
stage2b2500@2500,wikinews2024,57.58289374529013,57.58289374529013,45.874152223059533,1.0,CONTAMINATED-gate,gate_probe-rescored,pwsh-65
stage2b2500@2500,wikinews2014,48.993765722410587,48.9992343869627,33.123701192168875,1.0,,gate_probe-rescored,pwsh-65
stage2a2500@1250,fadel_test,35.360904251067165,35.58008921005931,23.914051383715168,1.0,,gate_probe-rescored,pwsh-68/69
stage2a2500@1250,sadeed25,47.130760216232565,47.1439912297282,34.51593392053831,0.9998865913128946,,gate_probe-rescored,pwsh-68/69
stage2a2500@1250,wikinews2024,59.21250941974379,59.21250941974379,48.75659382064808,1.0,CONTAMINATED-gate,gate_probe-rescored,pwsh-68/69
stage2a2500@1250,wikinews2014,50.67264573991032,50.705457727222301,36.607240511867,1.0,,gate_probe-rescored,pwsh-68/69
stage2a2500@2500,fadel_test,35.360904251067165,35.360904251067165,23.424035556123998,1.0,,gate_probe-rescored,pwsh-70
stage2a2500@2500,sadeed25,46.83022719540317,46.83589762975844,32.70517521642158,0.9998865913128946,,gate_probe-rescored,pwsh-70
stage2a2500@2500,wikinews2024,57.96910324039186,57.96910324039186,46.70308967596081,1.0,CONTAMINATED-gate,gate_probe-rescored,pwsh-70
stage2a2500@2500,wikinews2014,49.6992234496336,49.704692114185717,34.124466805206166,1.0,,gate_probe-rescored,pwsh-70
stage2final@2500,fadel_test,34.92621780201638,34.94300468432749,22.18820444771299,1.0,,gate_probe-rescored,pwsh-2
stage2final@2500,sadeed25,47.78664045665898,47.78664045665898,33.02838997467206,0.9998865913128946,,gate_probe-rescored,pwsh-2
stage2final@2500,wikinews2024,57.498116051243414,57.498116051243414,45.23360964581764,1.0,CONTAMINATED-gate,gate_probe-rescored,pwsh-2
stage2final@2500,wikinews2014,49.58985015859127,49.58985015859127,33.63775566006781,1.0,,gate_probe-rescored,pwsh-2
stage2final@2500,abdou_test,49.40758910901402,49.66505999625023,33.29323167302044,0.9845842968147824,held-out-new,eval.py compare scratch/stage2final/abdou_test_pred.txt,pwsh-3
stage2b2500@2500,abdou_test,41.643165531321,41.95694800324979,30.412942941066184,0.9845842968147824,held-out-never-trained,eval.py compare scratch/stage2b2500/abdou_test_pred.txt,pwsh-3
