task,split,step,loss
control,train,50,3.4016683101654053
control,train,100,2.400164842605591
control,train,150,2.184211015701294
control,train,200,2.0466620922088623
control,train,250,1.9097017049789429
control,train,300,1.8322608470916748
control,train,350,1.7819076776504517
control,train,400,1.7666635513305664
control,train,450,1.7185856103897095
control,train,500,1.7179814577102661
control,train,550,1.7022500038146973
control,train,600,1.673913836479187
control,train,650,1.6877970695495605
control,train,700,1.6622984409332275
control,train,750,1.655792236328125
control,train,800,1.6438162326812744
control,train,850,1.6609784364700317
control,train,900,1.627045750617981
control,train,950,1.6008491516113281
control,train,1000,1.6268521547317505
control,train,1050,1.6122984886169434
control,train,1100,1.587287425994873
control,train,1150,1.5806493759155273
control,train,1200,1.5686177015304565
control,train,1250,1.5862362384796143
control,train,1300,1.597191572189331
control,train,1350,1.5531710386276245
control,train,1400,1.559507131576538
control,train,1450,1.5378479957580566
control,train,1500,1.5700525045394897
control,train,1550,1.5544906854629517
control,train,1600,1.5576328039169312
control,train,1650,1.5305285453796387
control,train,1700,1.540797472000122
control,train,1750,1.5088728666305542
control,train,1800,1.5121115446090698
control,train,1850,1.530064582824707
control,train,1900,1.5096927881240845
control,train,1950,1.5310226678848267
control,train,2000,1.54485285282135
control,train,2050,1.519838571548462
control,train,2100,1.512515664100647
control,train,2150,1.5200326442718506
control,train,2200,1.4882129430770874
control,train,2250,1.5005309581756592
control,train,2300,1.5082573890686035
control,train,2350,1.4797732830047607
control,train,2400,1.4846084117889404
control,train,2450,1.4895920753479004
control,train,2500,1.4905402660369873
control,train,2550,1.4879933595657349
control,train,2600,1.4748692512512207
control,train,2650,1.4858511686325073
control,train,2700,1.479790210723877
control,train,2750,1.4818514585494995
control,train,2800,1.4757391214370728
control,train,2850,1.4589518308639526
control,train,2900,1.4572868347167969
control,train,2950,1.4718742370605469
control,train,3000,1.4560240507125854
control,train,3050,1.4533758163452148
control,train,3100,1.4688174724578857
control,train,3150,1.4530746936798096
control,train,3200,1.4718528985977173
control,train,3250,1.4489272832870483
control,train,3300,1.448781132698059
control,train,3350,1.451813817024231
control,train,3400,1.4420976638793945
control,train,3450,1.4374912977218628
control,train,3500,1.4491052627563477
control,train,3550,1.44106125831604
control,train,3600,1.4492998123168945
control,train,3650,1.4290248155593872
control,train,3700,1.433302402496338
control,train,3750,1.428836703300476
control,train,3800,1.4258936643600464
control,train,3850,1.4149647951126099
control,train,3900,1.4122555255889893
control,train,3950,1.4233598709106445
control,train,4000,1.4212844371795654
control,train,4050,1.4080315828323364
control,train,4100,1.4156951904296875
control,train,4150,1.3950440883636475
control,train,4200,1.3948217630386353
control,train,4250,1.3809266090393066
control,train,4300,1.378931999206543
control,train,4350,1.3486942052841187
control,train,4400,1.3603988885879517
control,train,4450,1.3600318431854248
control,train,4500,1.3611197471618652
control,train,4550,1.3518495559692383
control,train,4600,1.3603408336639404
control,train,4650,1.3450053930282593
control,train,4700,1.3497133255004883
control,train,4750,1.3518413305282593
control,train,4800,1.3464393615722656
control,train,4850,1.3493762016296387
control,train,4900,1.3441985845565796
control,train,4950,1.3426737785339355
control,train,5000,1.3539541959762573
control,train,5050,1.3378362655639648
control,train,5100,1.3364967107772827
control,train,5150,1.3320826292037964
control,train,5200,1.3403140306472778
control,train,5250,1.3344459533691406
control,train,5300,1.3482422828674316
control,train,5350,1.3565950393676758
control,train,5400,1.3313549757003784
control,train,5450,1.3323062658309937
control,train,5500,1.3165748119354248
control,train,5550,1.3239924907684326
control,train,5600,1.3278311491012573
control,train,5650,1.316023826599121
control,train,5700,1.3196628093719482
control,train,5750,1.315443992614746
control,train,5800,1.331028699874878
control,train,5850,1.3227331638336182
control,train,5900,1.3200722932815552
control,train,5950,1.3342317342758179
control,train,6000,1.3201640844345093
control,train,6050,1.3153817653656006
control,train,6100,1.3088860511779785
control,train,6150,1.3145079612731934
control,train,6200,1.3150748014450073
control,train,6250,1.3184819221496582
control,train,6300,1.327022910118103
control,train,6350,1.3179391622543335
control,train,6400,1.3197909593582153
control,train,6450,1.3158830404281616
control,train,6500,1.3082375526428223
control,train,6550,1.2916029691696167
control,train,6600,1.3082880973815918
control,train,6650,1.3098489046096802
control,train,6700,1.2990778684616089
control,train,6750,1.3073303699493408
control,train,6800,1.3106809854507446
control,train,6850,1.3079712390899658
control,train,6900,1.2955315113067627
control,train,6950,1.311735987663269
control,train,7000,1.305740475654602
control,train,7050,1.2985703945159912
control,train,7100,1.3132338523864746
control,train,7150,1.297184944152832
control,train,7200,1.3040062189102173
control,train,7250,1.296044111251831
control,train,7300,1.31471586227417
control,train,7350,1.3084251880645752
control,train,7400,1.304957628250122
control,train,7450,1.2997585535049438
control,train,7500,1.3064298629760742
control,train,7550,1.288304328918457
control,train,7600,1.286055564880371
control,train,7650,1.2984287738800049
control,train,7700,1.2913192510604858
control,train,7750,1.299402117729187
control,train,7800,1.2973496913909912
control,train,7850,1.2921152114868164
control,train,7900,1.30098557472229
control,train,7950,1.292802095413208
control,train,8000,1.2910199165344238
control,train,8050,1.2886320352554321
control,train,8100,1.2901932001113892
control,train,8150,1.2917765378952026
control,train,8200,1.2988733053207397
control,train,8250,1.2880386114120483
control,train,8300,1.2938810586929321
control,train,8350,1.2969776391983032
control,train,8400,1.284475564956665
control,train,8450,1.292107343673706
control,train,8500,1.282749891281128
control,train,8550,1.2903248071670532
control,train,8600,1.2949497699737549
control,train,8650,1.2813791036605835
control,train,8700,1.2740802764892578
control,train,8750,1.2778077125549316
control,train,8800,1.2753665447235107
control,train,8850,1.2882717847824097
control,train,8900,1.279557466506958
control,train,8950,1.2939692735671997
control,train,9000,1.2705578804016113
control,train,9050,1.287143349647522
control,train,9100,1.2884820699691772
control,train,9150,1.2883702516555786
control,train,9200,1.2838599681854248
